Series;Time;Value
speed;2018-08-31 11:09:21;1.32000005245
speed;2018-08-31 11:15:21;0.479999989271
speed;2018-08-31 11:19:21;0.319999992847
speed;2018-08-31 11:25:21;1.01999998093
speed;2018-08-31 11:37:21;0.800000011921
speed;2018-08-31 11:43:21;0.959999978542
speed;2018-08-31 11:47:21;0.379999995232
speed;2018-08-31 11:51:21;0.239999994636
speed;2018-08-31 11:55:21;0.800000011921
speed;2018-08-31 12:01:21;1.10000002384
speed;2018-08-31 12:07:21;0.540000021458
speed;2018-08-31 12:11:21;0.77999997139
speed;2018-08-31 12:15:21;1.10000002384
speed;2018-08-31 12:19:21;0.5
speed;2018-08-31 12:25:21;0.40000000596
speed;2018-08-31 12:29:21;0.540000021458
speed;2018-08-31 12:35:21;0.239999994636
speed;2018-08-31 12:41:21;0.0399999991059
speed;2018-08-31 12:45:21;0.959999978542
speed;2018-08-31 12:51:21;1.98000001907
speed;2018-08-31 12:55:21;1.24000000954
speed;2018-08-31 12:59:21;0.300000011921
speed;2018-08-31 13:03:21;0.540000021458
speed;2018-08-31 13:07:21;0.280000001192
speed;2018-08-31 13:13:21;0.119999997318
speed;2018-08-31 13:19:21;0.0799999982119
speed;2018-08-31 13:27:21;1.15999996662
speed;2018-08-31 13:31:21;0.360000014305
speed;2018-08-31 13:37:21;0.519999980927
speed;2018-08-31 13:41:21;0.959999978542
speed;2018-08-31 13:47:21;1.20000004768
speed;2018-08-31 13:51:21;0.340000003576
speed;2018-08-31 13:57:21;0.439999997616
speed;2018-08-31 14:03:21;0.10000000149
speed;2018-08-31 14:07:21;0.680000007153
speed;2018-08-31 14:13:21;1.34000003338
speed;2018-08-31 14:19:21;0.540000021458
speed;2018-08-31 14:23:21;0.579999983311
speed;2018-08-31 14:27:21;1.25999999046
speed;2018-08-31 14:33:21;0.019999999553
speed;2018-08-31 14:37:21;0.620000004768
speed;2018-08-31 14:43:21;0.280000001192
speed;2018-08-31 14:49:21;0.360000014305
speed;2018-08-31 14:53:21;0.740000009537
