Series;Time;Value
direction;2018-09-01 02:09:21;135
direction;2018-09-01 02:13:21;270
direction;2018-09-01 02:17:21;135
direction;2018-09-01 02:23:21;135
direction;2018-09-01 02:29:21;45
direction;2018-09-01 02:33:21;270
direction;2018-09-01 02:37:21;135
direction;2018-09-01 02:41:21;135
direction;2018-09-01 02:45:21;135
direction;2018-09-01 02:51:21;135
direction;2018-09-01 02:57:21;135
direction;2018-09-01 03:01:21;135
direction;2018-09-01 03:05:21;135
direction;2018-09-01 03:09:21;180
direction;2018-09-01 03:15:21;270
direction;2018-09-01 03:19:21;135
direction;2018-09-01 03:23:21;135
direction;2018-09-01 03:29:21;135
direction;2018-09-01 03:33:21;225
direction;2018-09-01 03:37:22;135
direction;2018-09-01 03:43:22;90
direction;2018-09-01 03:47:22;90
direction;2018-09-01 03:51:22;270
direction;2018-09-01 03:57:22;270
direction;2018-09-01 04:01:22;225
direction;2018-09-01 04:07:22;135
direction;2018-09-01 04:11:22;270
direction;2018-09-01 04:15:22;270
direction;2018-09-01 04:19:22;135
direction;2018-09-01 04:25:22;135
direction;2018-09-01 04:29:22;135
direction;2018-09-01 04:33:22;270
direction;2018-09-01 04:37:22;270
direction;2018-09-01 04:43:22;90
direction;2018-09-01 04:47:22;270
direction;2018-09-01 04:53:22;180
direction;2018-09-01 04:59:22;135
direction;2018-09-01 05:05:22;270
direction;2018-09-01 05:11:22;225
direction;2018-09-01 05:17:22;270
direction;2018-09-01 05:23:22;270
direction;2018-09-01 05:27:22;135
direction;2018-09-01 05:33:22;270
direction;2018-09-01 05:37:22;90
direction;2018-09-01 05:41:22;270
direction;2018-09-01 05:47:22;135
direction;2018-09-01 05:51:22;135
direction;2018-09-01 05:55:22;135
direction;2018-09-01 06:01:22;225
direction;2018-09-01 06:07:22;135
direction;2018-09-01 06:11:22;135
direction;2018-09-01 06:17:22;135
direction;2018-09-01 06:21:22;135
direction;2018-09-01 06:25:22;135
direction;2018-09-01 06:31:22;90
direction;2018-09-01 06:37:22;135
direction;2018-09-01 06:43:22;90
direction;2018-09-01 06:49:22;135
direction;2018-09-01 06:53:22;180
direction;2018-09-01 06:59:22;135
direction;2018-09-01 07:03:22;90
direction;2018-09-01 07:09:22;135
direction;2018-09-01 07:13:22;270
direction;2018-09-01 07:19:22;135
direction;2018-09-01 07:25:22;225
direction;2018-09-01 07:31:22;270
direction;2018-09-01 07:37:22;135
direction;2018-09-01 07:41:22;135
direction;2018-09-01 07:47:22;225
direction;2018-09-01 07:53:22;270
direction;2018-09-01 07:59:22;270
direction;2018-09-01 08:05:22;270
direction;2018-09-01 08:09:22;270
direction;2018-09-01 08:13:22;270
direction;2018-09-01 08:17:22;270
direction;2018-09-01 08:23:22;270
direction;2018-09-01 08:29:22;270
direction;2018-09-01 08:35:22;270
direction;2018-09-01 08:39:22;135
direction;2018-09-01 08:45:22;45
direction;2018-09-01 08:51:22;225
direction;2018-09-01 08:57:22;135
direction;2018-09-01 09:01:22;270
direction;2018-09-01 09:05:22;270
direction;2018-09-01 09:11:22;270
direction;2018-09-01 09:15:22;135
direction;2018-09-01 09:21:22;135
direction;2018-09-01 09:27:22;135
direction;2018-09-01 09:33:22;270
direction;2018-09-01 09:37:22;270
direction;2018-09-01 09:41:22;270
direction;2018-09-01 09:47:22;270
direction;2018-09-01 09:51:22;90
direction;2018-09-01 09:55:22;135
direction;2018-09-01 09:59:22;270
direction;2018-09-01 10:03:22;90
direction;2018-09-01 10:07:22;270
direction;2018-09-01 10:11:22;90
direction;2018-09-01 10:15:22;270
direction;2018-09-01 10:21:22;270
direction;2018-09-01 10:25:22;270
direction;2018-09-01 10:29:22;135
direction;2018-09-01 10:33:22;135
direction;2018-09-01 10:39:22;135
direction;2018-09-01 10:45:22;135
direction;2018-09-01 10:58:16;270
direction;2018-09-01 11:04:16;135
direction;2018-09-01 11:08:16;135
direction;2018-09-01 11:12:16;135
direction;2018-09-01 11:16:16;270
direction;2018-09-01 11:20:16;270
direction;2018-09-01 11:30:16;270
direction;2018-09-01 11:36:16;135
