"time","conc","wdir","wspeed","minute","hour","dow","wos"
2018-09-01 06:00:00,0.71925,135,0.0399999991059,360,6,"Saturday","1"
2018-09-01 06:05:00,0.614,225,0.379999995232,365,6,"Saturday","1"
2018-09-01 06:10:00,0.688,135,0.620000004768,370,6,"Saturday","1"
2018-09-01 06:15:00,0.76625,135,0.340000003576,375,6,"Saturday","1"
2018-09-01 06:20:00,0.8502,135,0,380,6,"Saturday","1"
2018-09-01 06:25:00,0.648,135,0.460000008345,385,6,"Saturday","1"
2018-09-01 06:30:00,0.757,135,0,390,6,"Saturday","1"
2018-09-01 06:35:00,0.886,90,0,395,6,"Saturday","1"
2018-09-01 06:40:00,1.19925,135,0.0799999982119,400,6,"Saturday","1"
2018-09-01 06:45:00,0.7305,90,0.019999999553,405,6,"Saturday","1"
2018-09-01 06:50:00,0.7,135,0.300000011921,410,6,"Saturday","1"
2018-09-01 06:55:00,1.0848,180,0.0399999991059,415,6,"Saturday","1"
2018-09-01 07:00:00,1.013,135,0.180000007153,420,7,"Saturday","1"
2018-09-01 07:05:00,0.88375,90,0.019999999553,425,7,"Saturday","1"
2018-09-01 07:10:00,0.7605,135,0.219999998808,430,7,"Saturday","1"
2018-09-01 07:15:00,1.09775,270,0.259999990463,435,7,"Saturday","1"
2018-09-01 07:20:00,1.0275,135,0,440,7,"Saturday","1"
2018-09-01 07:25:00,0.688,NA,NA,445,7,"Saturday","1"
2018-09-01 07:30:00,0.92675,225,0.0399999991059,450,7,"Saturday","1"
2018-09-01 07:35:00,1.017,270,0.0799999982119,455,7,"Saturday","1"
2018-09-01 07:40:00,0.80125,135,0.579999983311,460,7,"Saturday","1"
2018-09-01 07:45:00,0.958,135,0.379999995232,465,7,"Saturday","1"
2018-09-01 07:50:00,1.00525,225,0.360000014305,470,7,"Saturday","1"
2018-09-01 07:55:00,0.88125,270,0.319999992847,475,7,"Saturday","1"
2018-09-01 08:00:00,0.84925,270,0.140000000596,480,8,"Saturday","1"
2018-09-01 08:05:00,0.786,NA,NA,485,8,"Saturday","1"
2018-09-01 08:10:00,1.1538,270,0.0699999984354,490,8,"Saturday","1"
2018-09-01 08:15:00,1.14275,270,0.40000000596,495,8,"Saturday","1"
2018-09-01 08:20:00,0.866,270,0.119999997318,500,8,"Saturday","1"
2018-09-01 08:25:00,1.583,270,0.300000011921,505,8,"Saturday","1"
2018-09-01 08:30:00,1.18,270,0.40000000596,510,8,"Saturday","1"
2018-09-01 08:35:00,0.97425,NA,NA,515,8,"Saturday","1"
2018-09-01 08:40:00,1.1975,270,0.189999997616,520,8,"Saturday","1"
2018-09-01 08:45:00,0.925,NA,NA,525,8,"Saturday","1"
2018-09-01 08:50:00,1.269,45,0.600000023842,530,8,"Saturday","1"
2018-09-01 08:55:00,1.1768,225,0.239999994636,535,8,"Saturday","1"
2018-09-01 09:00:00,1.09875,135,0.019999999553,540,9,"Saturday","1"
2018-09-01 09:05:00,0.753,270,0.119999997318,545,9,"Saturday","1"
2018-09-01 09:10:00,0.9875,270,0.119999997318,550,9,"Saturday","1"
2018-09-01 09:15:00,1.298,270,0.980000019073,555,9,"Saturday","1"
2018-09-01 09:20:00,1.42225,135,0.159999996424,560,9,"Saturday","1"
2018-09-01 09:25:00,0.79375,135,0.0399999991059,565,9,"Saturday","1"
2018-09-01 09:30:00,1.0956,135,0.239999994636,570,9,"Saturday","1"
2018-09-01 09:35:00,1.308,270,0.239999994636,575,9,"Saturday","1"
2018-09-01 09:40:00,1.763,270,1.01999998093,580,9,"Saturday","1"
2018-09-01 09:45:00,1.0245,270,0.439999997616,585,9,"Saturday","1"
2018-09-01 09:50:00,0.93975,270,1.08000004292,590,9,"Saturday","1"
2018-09-01 09:55:00,1.11925,90,0.360000014305,595,9,"Saturday","1"
2018-09-01 10:00:00,1.2184,135,0.57000001147295,600,10,"Saturday","1"
2018-09-01 10:05:00,1.05275,90,1.62000000477,605,10,"Saturday","1"
2018-09-01 10:10:00,1.4665,270,0.0799999982119,610,10,"Saturday","1"
2018-09-01 10:15:00,1.63125,90,0.219999998808,615,10,"Saturday","1"
2018-09-01 10:20:00,1.8745,270,1.03999996185,620,10,"Saturday","1"
2018-09-01 10:25:00,0.88,270,0.680000007153,625,10,"Saturday","1"
2018-09-01 10:30:00,1.0475,270,0.499999988824,630,10,"Saturday","1"
2018-09-01 10:35:00,0.7492,135,0.639999985695,635,10,"Saturday","1"
2018-09-01 10:40:00,0.6974,135,0.920000016689,640,10,"Saturday","1"
2018-09-01 10:45:00,1.2865,NA,NA,645,10,"Saturday","1"
2018-09-01 10:50:00,1.195,135,1.20000004768,650,10,"Saturday","1"
2018-09-01 10:55:00,1.104,NA,NA,655,10,"Saturday","1"
2018-09-01 11:00:00,1.42,270,1.01999998093,660,11,"Saturday","1"
2018-09-01 11:05:00,2.21425,135,1.84000003338,665,11,"Saturday","1"
2018-09-01 11:10:00,1.06875,135,1.46000003815,670,11,"Saturday","1"
2018-09-01 11:15:00,0.9828,135,0.759999990463,675,11,"Saturday","1"
2018-09-01 11:20:00,1.22,270,0.879999995232,680,11,"Saturday","1"
2018-09-01 11:25:00,0.8705,270,1.77999997139,685,11,"Saturday","1"
2018-09-01 11:30:00,1.044,NA,NA,690,11,"Saturday","1"
2018-09-01 11:35:00,1.15775,270,0.540000021458,695,11,"Saturday","1"
2018-09-01 11:40:00,0.80825,135,0.740000009537,700,11,"Saturday","1"
2018-09-01 11:45:00,0.9502,90,0.740000009537,705,11,"Saturday","1"
2018-09-01 11:50:00,1.178,225,0.0599999986589,710,11,"Saturday","1"
2018-09-01 11:55:00,1.496,270,0.819999992847,715,11,"Saturday","1"
2018-09-01 12:00:00,1.298,225,0.239999994636,720,12,"Saturday","1"
2018-09-01 12:05:00,0.9605,270,1.10000002384,725,12,"Saturday","1"
2018-09-01 12:10:00,1.28575,180,0.519999980927,730,12,"Saturday","1"
2018-09-01 12:15:00,1.73375,135,0.660000026226,735,12,"Saturday","1"
2018-09-01 12:20:00,1.0634,225,0.119999997318,740,12,"Saturday","1"
2018-09-01 12:25:00,1.009,270,0.019999999553,745,12,"Saturday","1"
2018-09-01 12:30:00,0.937,NA,NA,750,12,"Saturday","1"
2018-09-01 12:35:00,1.019,180,0.519999980927,755,12,"Saturday","1"
2018-09-01 12:40:00,1.575,225,0.620000004768,760,12,"Saturday","1"
2018-09-01 12:45:00,1.51175,270,0.560000002384,765,12,"Saturday","1"
2018-09-01 12:50:00,1.1276,270,0.379999995232,770,12,"Saturday","1"
2018-09-01 12:55:00,0.91075,135,0.140000000596,775,12,"Saturday","1"
2018-09-01 13:00:00,1.3435,135,0.360000014305,780,13,"Saturday","1"
2018-09-01 13:05:00,1.438,270,0.340000003576,785,13,"Saturday","1"
2018-09-01 13:10:00,1.17575,270,0.379999995232,790,13,"Saturday","1"
2018-09-01 13:15:00,1.21675,270,0.5,795,13,"Saturday","1"
2018-09-01 13:20:00,0.92675,270,0.620000004768,800,13,"Saturday","1"
2018-09-01 13:25:00,1.21275,135,0.540000021458,805,13,"Saturday","1"
2018-09-01 13:30:00,1.2522,135,1.72000002861,810,13,"Saturday","1"
2018-09-01 13:35:00,1.1655,270,1.27999997139,815,13,"Saturday","1"
2018-09-01 13:40:00,1.0975,225,0.20000000298,820,13,"Saturday","1"
2018-09-01 13:45:00,1.524,135,0.280000001192,825,13,"Saturday","1"
2018-09-01 13:50:00,1.36775,135,0.280000001192,830,13,"Saturday","1"
