"Time","day","Concentrations","type"
2018-09-08 04:00:00,"Saturday",0.33433,"mean"
2018-09-08 04:00:00,"Saturday",0.365965,"95% Quantile"
2018-09-08 05:00:00,"Sunday",0.307414612244898,"5% Quantile"
2018-09-08 05:00:00,"Sunday",0.311329795918367,"mean"
2018-09-08 05:00:00,"Sunday",0.315244979591837,"95% Quantile"
2018-09-08 05:00:00,"Monday",0.277906693877551,"5% Quantile"
2018-09-08 05:00:00,"Monday",0.32422693877551,"mean"
2018-09-08 05:00:00,"Monday",0.370547183673469,"95% Quantile"
2018-09-08 05:00:00,"Tuesday",0.310365,"5% Quantile"
2018-09-08 05:00:00,"Tuesday",0.31923,"mean"
2018-09-08 05:00:00,"Tuesday",0.328095,"95% Quantile"
2018-09-08 05:00:00,"Wednesday",0.327431632653061,"5% Quantile"
2018-09-08 05:00:00,"Wednesday",0.336459183673469,"mean"
2018-09-08 05:00:00,"Wednesday",0.345486734693878,"95% Quantile"
2018-09-08 05:00:00,"Thursday",0.333635836734694,"5% Quantile"
2018-09-08 05:00:00,"Thursday",0.339909387755102,"mean"
2018-09-08 05:00:00,"Thursday",0.34618293877551,"95% Quantile"
2018-09-08 05:00:00,"Friday",0.312564,"5% Quantile"
2018-09-08 05:00:00,"Friday",0.31386,"mean"
2018-09-08 05:00:00,"Friday",0.315156,"95% Quantile"
2018-09-08 05:00:00,"Saturday",0.335698979591837,"5% Quantile"
2018-09-08 05:00:00,"Saturday",0.344928571428571,"mean"
2018-09-08 05:00:00,"Saturday",0.354158163265306,"95% Quantile"
2018-09-08 06:00:00,"Sunday",0.334038,"5% Quantile"
2018-09-08 06:00:00,"Sunday",0.33978,"mean"
2018-09-08 06:00:00,"Sunday",0.345522,"95% Quantile"
2018-09-08 06:00:00,"Monday",0.404976,"5% Quantile"
2018-09-08 06:00:00,"Monday",0.40998,"mean"
2018-09-08 06:00:00,"Monday",0.414984,"95% Quantile"
2018-09-08 06:00:00,"Tuesday",0.335385695652174,"5% Quantile"
2018-09-08 06:00:00,"Tuesday",0.359916956521739,"mean"
2018-09-08 06:00:00,"Tuesday",0.384448217391304,"95% Quantile"
2018-09-08 06:00:00,"Wednesday",0.415009632653061,"5% Quantile"
2018-09-08 06:00:00,"Wednesday",0.41858612244898,"mean"
2018-09-08 06:00:00,"Wednesday",0.422162612244898,"95% Quantile"
2018-09-08 06:00:00,"Thursday",0.346763755102041,"5% Quantile"
2018-09-08 06:00:00,"Thursday",0.379917551020408,"mean"
2018-09-08 06:00:00,"Thursday",0.413071346938776,"95% Quantile"
2018-09-08 06:00:00,"Friday",0.367894897959184,"5% Quantile"
2018-09-08 06:00:00,"Friday",0.371908163265306,"mean"
2018-09-08 06:00:00,"Friday",0.375921428571429,"95% Quantile"
2018-09-08 06:00:00,"Saturday",0.374519244897959,"5% Quantile"
2018-09-08 06:00:00,"Saturday",0.387652448979592,"mean"
2018-09-08 06:00:00,"Saturday",0.400785653061224,"95% Quantile"
2018-09-08 07:00:00,"Sunday",0.412344428571429,"5% Quantile"
2018-09-08 07:00:00,"Sunday",0.430384285714286,"mean"
2018-09-08 07:00:00,"Sunday",0.448424142857143,"95% Quantile"
2018-09-08 07:00:00,"Monday",0.494088775510204,"5% Quantile"
2018-09-08 07:00:00,"Monday",0.566520408163265,"mean"
2018-09-08 07:00:00,"Monday",0.638952040816327,"95% Quantile"
2018-09-08 07:00:00,"Tuesday",0.481737074829932,"5% Quantile"
2018-09-08 07:00:00,"Tuesday",0.48537074829932,"mean"
2018-09-08 07:00:00,"Tuesday",0.489004421768707,"95% Quantile"
2018-09-08 07:00:00,"Wednesday",0.508175510204082,"5% Quantile"
2018-09-08 07:00:00,"Wednesday",0.557877551020408,"mean"
2018-09-08 07:00:00,"Wednesday",0.607579591836735,"95% Quantile"
2018-09-08 07:00:00,"Thursday",0.556049591836735,"5% Quantile"
2018-09-08 07:00:00,"Thursday",0.571373469387755,"mean"
2018-09-08 07:00:00,"Thursday",0.586697346938776,"95% Quantile"
2018-09-08 07:00:00,"Friday",0.423446,"5% Quantile"
2018-09-08 07:00:00,"Friday",0.45248,"mean"
2018-09-08 07:00:00,"Friday",0.481514,"95% Quantile"
2018-09-08 07:00:00,"Saturday",0.44835,"5% Quantile"
2018-09-08 07:00:00,"Saturday",0.44898,"mean"
2018-09-08 07:00:00,"Saturday",0.44961,"95% Quantile"
2018-09-08 08:00:00,"Sunday",0.461837,"5% Quantile"
2018-09-08 08:00:00,"Sunday",0.48287,"mean"
2018-09-08 08:00:00,"Sunday",0.503903,"95% Quantile"
2018-09-08 08:00:00,"Monday",0.687991,"5% Quantile"
2018-09-08 08:00:00,"Monday",0.70501,"mean"
2018-09-08 08:00:00,"Monday",0.722029,"95% Quantile"
2018-09-08 08:00:00,"Tuesday",0.544691571428571,"5% Quantile"
2018-09-08 08:00:00,"Tuesday",0.625487142857143,"mean"
2018-09-08 08:00:00,"Tuesday",0.706282714285714,"95% Quantile"
2018-09-08 08:00:00,"Wednesday",0.620304,"5% Quantile"
2018-09-08 08:00:00,"Wednesday",0.62754,"mean"
2018-09-08 08:00:00,"Wednesday",0.634776,"95% Quantile"
2018-09-08 08:00:00,"Thursday",0.588076612244898,"5% Quantile"
2018-09-08 08:00:00,"Thursday",0.606949795918367,"mean"
2018-09-08 08:00:00,"Thursday",0.625822979591837,"95% Quantile"
2018-09-08 08:00:00,"Friday",0.452654530612245,"5% Quantile"
2018-09-08 08:00:00,"Friday",0.519385306122449,"mean"
2018-09-08 08:00:00,"Friday",0.586116081632653,"95% Quantile"
2018-09-08 08:00:00,"Saturday",0.406883080208828,"5% Quantile"
2018-09-08 08:00:00,"Saturday",0.456481964878975,"mean"
2018-09-08 08:00:00,"Saturday",0.506080849549122,"95% Quantile"
2018-09-08 09:00:00,"Sunday",0.59635612244898,"5% Quantile"
2018-09-08 09:00:00,"Sunday",0.609479591836735,"mean"
2018-09-08 09:00:00,"Sunday",0.62260306122449,"95% Quantile"
2018-09-08 09:00:00,"Monday",0.939510571428572,"5% Quantile"
2018-09-08 09:00:00,"Monday",1.02906571428571,"mean"
2018-09-08 09:00:00,"Monday",1.11862085714286,"95% Quantile"
2018-09-08 09:00:00,"Tuesday",0.759926612244898,"5% Quantile"
2018-09-08 09:00:00,"Tuesday",0.867449795918367,"mean"
2018-09-08 09:00:00,"Tuesday",0.974972979591837,"95% Quantile"
2018-09-08 09:00:00,"Wednesday",0.714428081632653,"5% Quantile"
2018-09-08 09:00:00,"Wednesday",0.875505306122449,"mean"
2018-09-08 09:00:00,"Wednesday",1.03658253061224,"95% Quantile"
2018-09-08 09:00:00,"Thursday",0.79025612244898,"5% Quantile"
2018-09-08 09:00:00,"Thursday",0.849132653061224,"mean"
2018-09-08 09:00:00,"Thursday",0.908009183673469,"95% Quantile"
2018-09-08 09:00:00,"Friday",0.583415183673469,"5% Quantile"
2018-09-08 09:00:00,"Friday",0.62590693877551,"mean"
