"time","conc","wdir","wspeed","temp","minute","hour","dow","wos"
2018-09-01 00:30:00,0.67808,135,0.226666672776167,23.5018,30,0,"Saturday","1"
2018-09-01 01:00:00,0.58952,270,0.3400000043212,23.39928,60,1,"Saturday","1"
2018-09-01 01:30:00,0.54972,135,0.457142859697286,23.3284,90,1,"Saturday","1"
2018-09-01 02:00:00,0.50808,135,0.45333333065115,23.25436,120,2,"Saturday","1"
2018-09-01 02:30:00,0.492916666666667,135,0.319999997193483,23.0458333333333,150,2,"Saturday","1"
2018-09-01 03:00:00,0.47768,135,0.363333332662833,22.93756,180,3,"Saturday","1"
2018-09-01 03:30:00,0.49704,135,0.254285716052543,22.78132,210,3,"Saturday","1"
2018-09-01 04:00:00,0.45652,90,0.110000002508333,22.7542,240,4,"Saturday","1"
2018-09-01 04:30:00,0.473583333333333,135,0.148571428975857,22.670125,270,4,"Saturday","1"
2018-09-01 05:00:00,0.44332,270,0.24333333224065,22.62668,300,5,"Saturday","1"
2018-09-01 05:30:00,0.4832,270,0.08399999886758,22.46272,330,5,"Saturday","1"
2018-09-01 06:00:00,0.68224,135,0.0866666659713,22.25276,360,6,"Saturday","1"
2018-09-01 06:30:00,0.72576,135,0.300000001986833,22.0292,390,6,"Saturday","1"
2018-09-01 07:00:00,0.94156,135,0.1033333359908,22.00564,420,7,"Saturday","1"
2018-09-01 07:30:00,0.897375,135,0.10799999758598,21.9835416666667,450,7,"Saturday","1"
2018-09-01 08:00:00,0.9226,270,0.30999999741715,22.0266,480,8,"Saturday","1"
2018-09-01 08:30:00,1.12,270,0.226666669671633,22.391,510,8,"Saturday","1"
2018-09-01 09:00:00,1.09748,135,0.2480000026526,22.91256,540,9,"Saturday","1"
2018-09-01 09:30:00,1.05984,270,0.276666667312483,23.39568,570,9,"Saturday","1"
2018-09-01 10:00:00,1.2284,270,0.611428579050414,24.17144,600,10,"Saturday","1"
2018-09-01 10:30:00,1.32541666666667,270,0.662857135491557,25.0552916666667,630,10,"Saturday","1"
2018-09-01 11:00:00,1.06844,135,0.9450000077485,25.95748,660,11,"Saturday","1"
2018-09-01 11:30:00,1.22336,135,1.344000005723,26.58916,690,11,"Saturday","1"
2018-09-01 12:00:00,1.14012,270,0.523333337778983,27.03572,720,12,"Saturday","1"
2018-09-01 12:30:00,1.16084,270,0.4840000055728,27.27708,750,12,"Saturday","1"
